,temp_Barcelona,pressure_Barcelona,humidity_Barcelona,wind_speed_Barcelona,wind_deg_Barcelona
2015-01-01 00:00:00+01:00,8.475000000000023,1035.0,100,7.0,58
2015-01-01 01:00:00+01:00,8.475000000000023,1035.0,100,7.0,58
2015-01-01 02:00:00+01:00,8.136000000000024,1036.0,100,7.0,48
2015-01-01 03:00:00+01:00,8.136000000000024,1036.0,100,7.0,48
2015-01-01 04:00:00+01:00,8.136000000000024,1036.0,100,7.0,48
2015-01-01 05:00:00+01:00,7.317000000000007,1037.0,100,5.0,32
2015-01-01 06:00:00+01:00,7.317000000000007,1037.0,100,5.0,32
2015-01-01 07:00:00+01:00,7.317000000000007,1037.0,100,5.0,32
2015-01-01 08:00:00+01:00,7.600999999999999,1038.0,100,2.0,353
2015-01-01 09:00:00+01:00,7.600999999999999,1038.0,100,2.0,353
2015-01-01 10:00:00+01:00,7.600999999999999,1038.0,100,2.0,353
2015-01-01 11:00:00+01:00,10.099000000000046,1038.0,100,2.0,272
2015-01-01 12:00:00+01:00,10.099000000000046,1038.0,100,2.0,272
2015-01-01 13:00:00+01:00,10.099000000000046,1038.0,100,2.0,272
2015-01-01 14:00:00+01:00,10.654312500000003,1035.0,57,3.0,275
2015-01-01 15:00:00+01:00,11.166687500000023,1035.0,58,4.0,263
2015-01-01 16:00:00+01:00,10.570500000000038,1035.0,62,4.0,267
2015-01-01 17:00:00+01:00,11.452312500000005,1035.0,62,5.0,250
2015-01-01 18:00:00+01:00,11.225656250000043,1035.0,65,5.0,248
2015-01-01 19:00:00+01:00,11.026218749999998,1036.0,83,4.0,260
2015-01-01 20:00:00+01:00,10.795000000000016,1036.0,84,5.0,256
2015-01-01 21:00:00+01:00,10.591000000000008,1038.0,100,4.0,266
2015-01-01 22:00:00+01:00,10.591000000000008,1038.0,100,4.0,266
2015-01-01 23:00:00+01:00,9.629000000000019,1038.0,100,2.0,296
2015-01-02 00:00:00+01:00,9.629000000000019,1038.0,100,2.0,296
2015-01-02 01:00:00+01:00,9.629000000000019,1038.0,100,2.0,296
2015-01-02 02:00:00+01:00,8.714000000000112,1037.0,100,2.0,338
2015-01-02 03:00:00+01:00,8.714000000000112,1037.0,100,2.0,338
2015-01-02 04:00:00+01:00,8.714000000000112,1037.0,100,2.0,338
2015-01-02 05:00:00+01:00,8.302000000000021,1038.0,100,1.0,338
2015-01-02 06:00:00+01:00,8.302000000000021,1038.0,100,1.0,338
2015-01-02 07:00:00+01:00,8.302000000000021,1038.0,100,1.0,338
2015-01-02 08:00:00+01:00,9.355000000000018,1039.0,100,1.0,311
2015-01-02 09:00:00+01:00,9.355000000000018,1039.0,100,1.0,311
2015-01-02 10:00:00+01:00,9.355000000000018,1039.0,100,1.0,311
2015-01-02 11:00:00+01:00,11.82000000000005,1039.0,100,2.0,275
2015-01-02 12:00:00+01:00,12.229000000000042,1037.0,74,2.0,272
2015-01-02 13:00:00+01:00,11.82000000000005,1039.0,100,2.0,275
2015-01-02 14:00:00+01:00,12.908312500000022,1035.0,50,2.0,264
2015-01-02 15:00:00+01:00,13.178687500000024,1035.0,52,2.0,260
2015-01-02 16:00:00+01:00,12.19500000000005,1037.0,74,2.0,266
2015-01-02 17:00:00+01:00,12.883312500000045,1036.0,69,2.0,258
2015-01-02 18:00:00+01:00,12.317687500000034,1036.0,84,2.0,260
2015-01-02 19:00:00+01:00,11.75200000000001,1037.0,100,2.0,263
2015-01-02 20:00:00+01:00,11.482000000000028,1038.0,100,2.0,274
2015-01-02 21:00:00+01:00,11.212000000000046,1038.0,100,2.0,285
2015-01-02 22:00:00+01:00,11.212000000000046,1038.0,100,2.0,285
2015-01-02 23:00:00+01:00,11.212000000000046,1038.0,100,2.0,285
2015-01-03 00:00:00+01:00,10.735000000000014,1036.0,84,2.0,306
2015-01-03 01:00:00+01:00,10.258000000000038,1037.0,100,3.0,328
2015-01-03 02:00:00+01:00,9.717000000000041,1037.0,100,3.0,322
2015-01-03 03:00:00+01:00,9.717000000000041,1037.0,100,3.0,322
2015-01-03 04:00:00+01:00,9.717000000000041,1037.0,100,3.0,322
2015-01-03 05:00:00+01:00,9.717000000000041,1037.0,100,3.0,322
2015-01-03 06:00:00+01:00,9.069000000000017,1036.0,100,3.0,305
2015-01-03 07:00:00+01:00,9.069000000000017,1036.0,100,3.0,305
2015-01-03 08:00:00+01:00,9.069000000000017,1036.0,100,3.0,305
2015-01-03 09:00:00+01:00,9.902000000000044,1036.0,100,3.0,319
