"Time (CET)","CTA|PT > CTA|ES [MW]","CTA|ES > CTA|PT [MW]"
"01.01.2016 00:00 - 01.01.2016 01:00","618","0"
"01.01.2016 01:00 - 01.01.2016 02:00","261","0"
"01.01.2016 02:00 - 01.01.2016 03:00","101","0"
"01.01.2016 03:00 - 01.01.2016 04:00","196","0"
"01.01.2016 04:00 - 01.01.2016 05:00","209","0"
"01.01.2016 05:00 - 01.01.2016 06:00","0","182"
"01.01.2016 06:00 - 01.01.2016 07:00","0","28"
"01.01.2016 07:00 - 01.01.2016 08:00","86","0"
"01.01.2016 08:00 - 01.01.2016 09:00","202","0"
"01.01.2016 09:00 - 01.01.2016 10:00","366","0"
"01.01.2016 10:00 - 01.01.2016 11:00","494","0"
"01.01.2016 11:00 - 01.01.2016 12:00","773","0"
"01.01.2016 12:00 - 01.01.2016 13:00","824","0"
"01.01.2016 13:00 - 01.01.2016 14:00","178","0"
"01.01.2016 14:00 - 01.01.2016 15:00","9","0"
"01.01.2016 15:00 - 01.01.2016 16:00","1","0"
"01.01.2016 16:00 - 01.01.2016 17:00","0","7"
"01.01.2016 17:00 - 01.01.2016 18:00","284","0"
"01.01.2016 18:00 - 01.01.2016 19:00","1342","0"
"01.01.2016 19:00 - 01.01.2016 20:00","1171","0"
"01.01.2016 20:00 - 01.01.2016 21:00","363","0"
"01.01.2016 21:00 - 01.01.2016 22:00","110","0"
"01.01.2016 22:00 - 01.01.2016 23:00","484","0"
"01.01.2016 23:00 - 02.01.2016 00:00","0","373"
"02.01.2016 00:00 - 02.01.2016 01:00","0","1094"
"02.01.2016 01:00 - 02.01.2016 02:00","0","1459"
"02.01.2016 02:00 - 02.01.2016 03:00","0","1399"
"02.01.2016 03:00 - 02.01.2016 04:00","0","961"
"02.01.2016 04:00 - 02.01.2016 05:00","0","741"
"02.01.2016 05:00 - 02.01.2016 06:00","0","636"
"02.01.2016 06:00 - 02.01.2016 07:00","0","744"
"02.01.2016 07:00 - 02.01.2016 08:00","0","851"
"02.01.2016 08:00 - 02.01.2016 09:00","0","1024"
"02.01.2016 09:00 - 02.01.2016 10:00","0","1373"
"02.01.2016 10:00 - 02.01.2016 11:00","0","831"
"02.01.2016 11:00 - 02.01.2016 12:00","0","929"
"02.01.2016 12:00 - 02.01.2016 13:00","0","1467"
"02.01.2016 13:00 - 02.01.2016 14:00","0","1313"
"02.01.2016 14:00 - 02.01.2016 15:00","0","1476"
"02.01.2016 15:00 - 02.01.2016 16:00","0","1902"
