"Time (CET)","CTA|FR > CTA|ES [MW]","CTA|ES > CTA|FR [MW]"
"01.01.2017 00:00 - 01.01.2017 01:00","1320","0"
"01.01.2017 01:00 - 01.01.2017 02:00","561","0"
"01.01.2017 02:00 - 01.01.2017 03:00","328","0"
"01.01.2017 03:00 - 01.01.2017 04:00","282","0"
"01.01.2017 04:00 - 01.01.2017 05:00","1354","0"
"01.01.2017 05:00 - 01.01.2017 06:00","2371","0"
"01.01.2017 06:00 - 01.01.2017 07:00","2648","0"
"01.01.2017 07:00 - 01.01.2017 08:00","2570","0"
"01.01.2017 08:00 - 01.01.2017 09:00","2814","0"
"01.01.2017 09:00 - 01.01.2017 10:00","2978","0"
"01.01.2017 10:00 - 01.01.2017 11:00","2720","0"
"01.01.2017 11:00 - 01.01.2017 12:00","1409","0"
"01.01.2017 12:00 - 01.01.2017 13:00","1173","0"
"01.01.2017 13:00 - 01.01.2017 14:00","2325","0"
"01.01.2017 14:00 - 01.01.2017 15:00","1663","0"
"01.01.2017 15:00 - 01.01.2017 16:00","1733","0"
"01.01.2017 16:00 - 01.01.2017 17:00","634","0"
"01.01.2017 17:00 - 01.01.2017 18:00","0","499"
"01.01.2017 18:00 - 01.01.2017 19:00","913","0"
"01.01.2017 19:00 - 01.01.2017 20:00","1472","0"
"01.01.2017 20:00 - 01.01.2017 21:00","2238","0"
"01.01.2017 21:00 - 01.01.2017 22:00","2155","0"
"01.01.2017 22:00 - 01.01.2017 23:00","2136","0"
"01.01.2017 23:00 - 02.01.2017 00:00","1011","0"
"02.01.2017 00:00 - 02.01.2017 01:00","0","417"
"02.01.2017 01:00 - 02.01.2017 02:00","0","2286"
"02.01.2017 02:00 - 02.01.2017 03:00","0","2463"
"02.01.2017 03:00 - 02.01.2017 04:00","0","1663"
"02.01.2017 04:00 - 02.01.2017 05:00","0","1495"
"02.01.2017 05:00 - 02.01.2017 06:00","0","2203"
"02.01.2017 06:00 - 02.01.2017 07:00","0","1942"
"02.01.2017 07:00 - 02.01.2017 08:00","0","1206"
"02.01.2017 08:00 - 02.01.2017 09:00","0","1254"
"02.01.2017 09:00 - 02.01.2017 10:00","0","1090"
"02.01.2017 10:00 - 02.01.2017 11:00","0","957"
"02.01.2017 11:00 - 02.01.2017 12:00","0","743"
"02.01.2017 12:00 - 02.01.2017 13:00","0","812"
"02.01.2017 13:00 - 02.01.2017 14:00","0","114"
"02.01.2017 14:00 - 02.01.2017 15:00","782","0"
"02.01.2017 15:00 - 02.01.2017 16:00","288","0"
"02.01.2017 16:00 - 02.01.2017 17:00","0","177"
"02.01.2017 17:00 - 02.01.2017 18:00","0","1952"
"02.01.2017 18:00 - 02.01.2017 19:00","0","2119"
"02.01.2017 19:00 - 02.01.2017 20:00","0","2115"
"02.01.2017 20:00 - 02.01.2017 21:00","0","256"
"02.01.2017 21:00 - 02.01.2017 22:00","1802","0"
"02.01.2017 22:00 - 02.01.2017 23:00","1847","0"
"02.01.2017 23:00 - 03.01.2017 00:00","748","0"
"03.01.2017 00:00 - 03.01.2017 01:00","687","0"
"03.01.2017 01:00 - 03.01.2017 02:00","511","0"
"03.01.2017 02:00 - 03.01.2017 03:00","386","0"
"03.01.2017 03:00 - 03.01.2017 04:00","2204","0"
"03.01.2017 04:00 - 03.01.2017 05:00","1731","0"
"03.01.2017 05:00 - 03.01.2017 06:00","0","186"
"03.01.2017 06:00 - 03.01.2017 07:00","0","1617"
"03.01.2017 07:00 - 03.01.2017 08:00","0","1533"
"03.01.2017 08:00 - 03.01.2017 09:00","0","1944"
"03.01.2017 09:00 - 03.01.2017 10:00","0","2031"
"03.01.2017 10:00 - 03.01.2017 11:00","0","1914"
"03.01.2017 11:00 - 03.01.2017 12:00","0","1300"
"03.01.2017 12:00 - 03.01.2017 13:00","0","501"
"03.01.2017 13:00 - 03.01.2017 14:00","379","0"
"03.01.2017 14:00 - 03.01.2017 15:00","562","0"
"03.01.2017 15:00 - 03.01.2017 16:00","458","0"
"03.01.2017 16:00 - 03.01.2017 17:00","0","317"
"03.01.2017 17:00 - 03.01.2017 18:00","0","2193"
"03.01.2017 18:00 - 03.01.2017 19:00","0","2212"
"03.01.2017 19:00 - 03.01.2017 20:00","0","2211"
"03.01.2017 20:00 - 03.01.2017 21:00","0","1689"
"03.01.2017 21:00 - 03.01.2017 22:00","1461","0"
"03.01.2017 22:00 - 03.01.2017 23:00","802","0"
"03.01.2017 23:00 - 04.01.2017 00:00","719","0"
"04.01.2017 00:00 - 04.01.2017 01:00","1231","0"
"04.01.2017 01:00 - 04.01.2017 02:00","915","0"
"04.01.2017 02:00 - 04.01.2017 03:00","331","0"
"04.01.2017 03:00 - 04.01.2017 04:00","605","0"
"04.01.2017 04:00 - 04.01.2017 05:00","893","0"
"04.01.2017 05:00 - 04.01.2017 06:00","494","0"
"04.01.2017 06:00 - 04.01.2017 07:00","0","671"
"04.01.2017 07:00 - 04.01.2017 08:00","0","1643"
"04.01.2017 08:00 - 04.01.2017 09:00","0","1946"
"04.01.2017 09:00 - 04.01.2017 10:00","0","1471"
"04.01.2017 10:00 - 04.01.2017 11:00","0","720"
"04.01.2017 11:00 - 04.01.2017 12:00","0","456"
"04.01.2017 12:00 - 04.01.2017 13:00","0","376"
"04.01.2017 13:00 - 04.01.2017 14:00","84","0"
"04.01.2017 14:00 - 04.01.2017 15:00","349","0"
"04.01.2017 15:00 - 04.01.2017 16:00","920","0"
"04.01.2017 16:00 - 04.01.2017 17:00","197","0"
"04.01.2017 17:00 - 04.01.2017 18:00","0","2055"
"04.01.2017 18:00 - 04.01.2017 19:00","0","2192"
"04.01.2017 19:00 - 04.01.2017 20:00","0","1898"
