"Week","Stored Energy Value 2015 [MWh] - CTA|ES","Stored Energy Value 2016 [MWh] - CTA|ES","Stored Energy Value 2017 [MWh] - CTA|ES","Stored Energy Value 2018 [MWh] - CTA|ES"
"Week 1","11822819","9381083","7130612","5104802"
"Week 2","11646669","10883109","6916889","5284528"
"Week 3","11517257","11173326","6760232","5330221"
"Week 4","11530991","11207337","6292513","5403403"
"Week 5","11702803","11070335","6505877","5411688"
"Week 6","11955294","11357441","7201542","5358573"
"Week 7","12089415","12031171","7790765","5458728"
"Week 8","12208680","12031402","8097145","5669946"
"Week 9","12379117","12049213","8184241","5770462"
"Week 10","12653460","12036284","8247393","6658816"
"Week 11","12812422","11848066","8311024","8217673"
"Week 12","12471119","11817160","8180421","9172003"
"Week 13","12746394","12244664","8163916","9560482"
"Week 14","12966701","12414712","8214929","10090503"
"Week 15","12820365","12550259","8167928","10768647"
"Week 16","12215143","13112404","8136193","11454574"
"Week 17","12242778","13217848","8012233","11748211"
"Week 18","13229237","13093247","7945915","11937485"
"Week 19","13438359","13476160","7931374","11941137"
"Week 20","13371999","13674197","8164482","12009342"
"Week 21","13139344","13554370","8163003","11943098"
"Week 22","12973505","13519124","8054391","12098391"
"Week 23","12640709","13345050","8016396","12247101"
"Week 24","12387195","13219967","7844857","12408446"
"Week 25","12104154","13036121","7643441","12240822"
"Week 26","12111641","12774619","7498061","11943759"
"Week 27","11833445","12509542","7430419","11719596"
"Week 28","11469927","12200938","7323298","11467992"
"Week 29","11073847","11874044","7157049","10732749"
"Week 30","10735752","11540088","6972171","10458582"
"Week 31","10119042","11146457","6754811","10315467"
"Week 32","10237140","10773235","6569548","10042983"
"Week 33","9992493","10415171","6398196","9871317"
"Week 34","9784539","10050679","6210803","9628642"
"Week 35","9598408","9667497","6034424","9346210"
"Week 36","9364915","9268747","5843347","9110095"
"Week 37","9169785","9027597","5637231","8868061"
"Week 38","9105089","8803999","5384857","8602508"
"Week 39","8977424","8577701","5183299","8374465"
"Week 40","8724451","8339651","5060620","8040905"
"Week 41","8669879","8104900","4949108","7843930"
"Week 42","8604785","7886057","4843917","7777168"
"Week 43","8569837","7722790","4770893","7728196"
"Week 44","8598926","7376536","4698007","7630760"
"Week 45","8875342","7555810","4649081","7685544"
"Week 46","8934039","7481105","4600037","7848784"
"Week 47","8779967","7599520","4510120","7927348"
"Week 48","8718362","7714959","4412918","7992028"
"Week 49","8676998","7687711","4308428","8084888"
"Week 50","8644764","7555762","4558296","8104824"
"Week 51","8596501","7430516","4707469","8153074"
"Week 52","8556639","7327317","4798953","8192252"
"Week 53","6785080","","",""
