,forecast solar day ahead,forecast wind onshore day ahead,total load forecast,price day ahead,total load actual,price actual,generation solar,generation wind offshore,generation wind onshore
2015-01-01 00:00:00+01:00,17.0,6436.0,26118.0,50.1,25385.0,65.41,49.0,0.0,6378.0
2015-01-01 01:00:00+01:00,16.0,5856.0,24934.0,48.1,24382.0,64.92,50.0,0.0,5890.0
2015-01-01 02:00:00+01:00,8.0,5454.0,23515.0,47.33,22734.0,64.48,50.0,0.0,5461.0
2015-01-01 03:00:00+01:00,2.0,5151.0,22642.0,42.27,21286.0,59.32,50.0,0.0,5238.0
2015-01-01 04:00:00+01:00,9.0,4861.0,21785.0,38.41,20264.0,56.04,42.0,0.0,4935.0
2015-01-01 05:00:00+01:00,4.0,4617.0,21441.0,35.72,19905.0,53.63,34.0,0.0,4618.0
2015-01-01 06:00:00+01:00,3.0,4276.0,21285.0,35.13,20010.0,51.73,34.0,0.0,4397.0
2015-01-01 07:00:00+01:00,12.0,3994.0,21545.0,36.22,20377.0,51.43,35.0,0.0,3992.0
2015-01-01 08:00:00+01:00,39.0,3602.0,21443.0,32.4,20094.0,48.98,54.0,0.0,3629.0
2015-01-01 09:00:00+01:00,784.0,3212.0,21560.0,36.6,20637.0,54.2,743.0,0.0,3073.0
2015-01-01 10:00:00+01:00,1996.0,2617.0,22824.0,43.1,22250.0,58.94,2019.0,0.0,2683.0
2015-01-01 11:00:00+01:00,2990.0,2450.0,23720.0,45.14,23547.0,59.86,3197.0,0.0,2771.0
2015-01-01 12:00:00+01:00,3842.0,2819.0,24180.0,45.14,24133.0,60.12,3885.0,0.0,2906.0
2015-01-01 13:00:00+01:00,3812.0,2830.0,24797.0,47.35,24713.0,62.05,4007.0,0.0,2923.0
2015-01-01 14:00:00+01:00,3699.0,2851.0,25222.0,47.35,24672.0,62.06,3973.0,0.0,2945.0
2015-01-01 15:00:00+01:00,3369.0,2822.0,24173.0,43.61,23528.0,59.76,3818.0,0.0,2709.0
2015-01-01 16:00:00+01:00,2615.0,2562.0,23659.0,44.91,23118.0,61.18,3088.0,0.0,2552.0
2015-01-01 17:00:00+01:00,1387.0,2578.0,23982.0,48.1,23606.0,64.74,1467.0,0.0,2699.0
2015-01-01 18:00:00+01:00,399.0,2824.0,26981.0,58.02,26447.0,74.26,404.0,0.0,2764.0
2015-01-01 19:00:00+01:00,100.0,2801.0,28515.0,61.01,28020.0,74.24,139.0,0.0,2913.0
2015-01-01 20:00:00+01:00,44.0,2999.0,30482.0,62.69,29014.0,75.64,100.0,0.0,3118.0
2015-01-01 21:00:00+01:00,26.0,3185.0,30739.0,60.41,29571.0,73.92,75.0,0.0,3373.0
2015-01-01 22:00:00+01:00,13.0,3446.0,29756.0,58.15,29031.0,70.53,74.0,0.0,3508.0
2015-01-01 23:00:00+01:00,14.0,3482.0,27589.0,53.6,26798.0,64.13,56.0,0.0,3527.0
2015-01-02 00:00:00+01:00,5.0,13329.0,27309.0,10.0,27070.0,64.02,54.0,0.0,13232.0
2015-01-02 01:00:00+01:00,35.0,12718.0,25397.0,7.0,24935.0,58.46,54.0,0.0,12760.0
2015-01-02 02:00:00+01:00,43.0,12375.0,23640.0,5.0,23214.0,54.7,54.0,0.0,12174.0
2015-01-02 03:00:00+01:00,32.0,11524.0,22638.0,4.0,22540.0,54.91,53.0,0.0,11358.0
2015-01-02 04:00:00+01:00,31.0,11310.0,22238.0,4.0,22096.0,53.07,53.0,0.0,11199.0
2015-01-02 05:00:00+01:00,26.0,11111.0,22299.0,4.8,22066.0,54.23,63.0,0.0,11152.0
2015-01-02 06:00:00+01:00,21.0,11303.0,22660.0,5.0,22275.0,58.22,55.0,0.0,11169.0
2015-01-02 07:00:00+01:00,136.0,11297.0,23449.0,7.04,23025.0,67.55,54.0,0.0,11205.0
2015-01-02 08:00:00+01:00,175.0,11048.0,24067.0,7.04,23699.0,70.33,116.0,0.0,10920.0
2015-01-02 09:00:00+01:00,1092.0,10711.0,25737.0,7.88,25834.0,71.26,1039.0,0.0,10491.0
2015-01-02 10:00:00+01:00,2319.0,10379.0,27883.0,10.71,27927.0,75.86,2373.0,0.0,10156.0
2015-01-02 11:00:00+01:00,3451.0,10423.0,28969.0,10.0,29072.0,73.65,3699.0,0.0,10421.0
2015-01-02 12:00:00+01:00,4005.0,10989.0,28894.0,7.04,29071.0,74.19,4154.0,0.0,11230.0
2015-01-02 13:00:00+01:00,4120.0,11842.0,29460.0,7.0,29439.0,71.51,4074.0,0.0,11920.0
2015-01-02 14:00:00+01:00,3794.0,12078.0,29389.0,6.33,29241.0,71.04,3851.0,0.0,11819.0
2015-01-02 15:00:00+01:00,3479.0,11797.0,28231.0,5.0,27973.0,71.24,3619.0,0.0,11961.0
2015-01-02 16:00:00+01:00,2788.0,12061.0,27716.0,6.21,27320.0,70.64,3024.0,0.0,12025.0
2015-01-02 17:00:00+01:00,1786.0,12102.0,27981.0,9.98,27157.0,72.85,2053.0,0.0,12077.0
2015-01-02 18:00:00+01:00,618.0,11451.0,30136.0,33.15,29045.0,82.55,769.0,0.0,11276.0
2015-01-02 19:00:00+01:00,170.0,10619.0,32754.0,50.0,31967.0,83.33,266.0,0.0,10510.0
2015-01-02 20:00:00+01:00,104.0,10216.0,33968.0,52.01,33266.0,83.23,165.0,0.0,10406.0
2015-01-02 21:00:00+01:00,93.0,10470.0,33870.0,50.01,33668.0,79.06,137.0,0.0,10445.0
2015-01-02 22:00:00+01:00,92.0,10112.0,32715.0,45.8,32426.0,76.2,137.0,0.0,9976.0
2015-01-02 23:00:00+01:00,81.0,9560.0,30052.0,41.74,29705.0,71.75,137.0,0.0,9527.0
2015-01-03 00:00:00+01:00,2.0,9313.0,26323.0,35.62,25564.0,66.82,62.0,0.0,9264.0
2015-01-03 01:00:00+01:00,0.0,9215.0,24301.0,27.1,23584.0,63.35,62.0,0.0,9135.0
2015-01-03 02:00:00+01:00,0.0,9196.0,22651.0,25.0,22194.0,58.79,61.0,0.0,9362.0
2015-01-03 03:00:00+01:00,2.0,9502.0,21785.0,20.01,21296.0,57.44,61.0,0.0,9628.0
2015-01-03 04:00:00+01:00,2.0,9617.0,21418.0,17.1,21145.0,55.29,61.0,0.0,9607.0
2015-01-03 05:00:00+01:00,1.0,9619.0,21317.0,17.22,21316.0,56.22,61.0,0.0,9666.0
2015-01-03 06:00:00+01:00,1.0,9733.0,21768.0,20.14,21674.0,58.13,61.0,0.0,9743.0
2015-01-03 07:00:00+01:00,37.0,9455.0,22276.0,19.87,22127.0,62.06,63.0,0.0,9401.0
2015-01-03 08:00:00+01:00,364.0,8564.0,22674.0,20.22,22756.0,67.36,233.0,0.0,8363.0
2015-01-03 09:00:00+01:00,1080.0,8062.0,24595.0,25.22,24654.0,69.21,820.0,0.0,7924.0
2015-01-03 10:00:00+01:00,2015.0,7573.0,26431.0,25.13,26454.0,70.35,1665.0,0.0,7592.0
2015-01-03 11:00:00+01:00,2935.0,7689.0,27260.0,27.1,26959.0,68.77,2488.0,0.0,7874.0
2015-01-03 12:00:00+01:00,3406.0,8082.0,27165.0,28.71,26716.0,68.82,3218.0,0.0,8192.0
2015-01-03 13:00:00+01:00,3743.0,8571.0,27449.0,25.0,26802.0,68.23,3695.0,0.0,8718.0
2015-01-03 14:00:00+01:00,3756.0,9082.0,27154.0,23.68,26416.0,67.97,3780.0,0.0,9152.0
2015-01-03 15:00:00+01:00,3373.0,9168.0,26011.0,14.87,25362.0,62.76,3370.0,0.0,9382.0
